batch_label,detector,detector_mode,image_path,prediction,confidence,elapsed_time,label,source,method
sd35_fp16,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00005_sd35_fp16_seed128_s30_g3.5_str0.3.png,fake,0.9993234872817992,0.0972161293029785,1,fake,ft_default
sd35_fp8,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00014_sd35_fp8_seed137_s30_g3.5_str0.3.png,fake,0.999024510383606,0.0952062606811523,1,fake,ft_default
sd35_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00002_sd35_fp4_seed125_s30_g3.5_str0.3.png,fake,0.9997286200523376,0.0964491367340087,1,fake,ft_default
sd35_fp8,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00086_sd35_fp8_seed209_s30_g3.5_str0.3.png,fake,0.9999592304229736,0.0975706577301025,1,fake,ft_default
sd35_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00068_sd35_fp4_seed191_s30_g3.5_str0.3.png,fake,0.9998631477355956,0.0946547985076904,1,fake,ft_default
sd35_fp16,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00018_sd35_fp16_seed141_s30_g3.5_str0.3.png,fake,0.9997205138206482,0.0925309658050537,1,fake,ft_default
sd35_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00024_sd35_fp4_seed147_s30_g3.5_str0.3.png,fake,0.9997856020927428,0.097581148147583,1,fake,ft_default
sd35_fp8,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00021_sd35_fp8_seed144_s30_g3.5_str0.3.png,fake,0.9997853636741638,0.0917239189147949,1,fake,ft_default
sd3_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00055_sd3_fp4_seed178_s30_g3.5_str0.3.png,fake,0.9999749660491944,0.091355562210083,1,fake,ft_default
sd3_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00085_sd3_fp4_seed208_s30_g3.5_str0.3.png,fake,0.9998613595962524,0.0927603244781494,1,fake,ft_default
sd15_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00092_sd15_fp4_seed215_s30_g3.5_str0.3.png,fake,0.999821960926056,0.0917215347290039,1,fake,ft_default
sd35_fp16,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00036_sd35_fp16_seed159_s30_g3.5_str0.3.png,fake,0.9989859461784364,0.0894882678985595,1,fake,ft_default
sd35_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00058_sd35_fp4_seed181_s30_g3.5_str0.3.png,fake,0.9997138381004332,0.0910327434539794,1,fake,ft_default
sd3_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00087_sd3_fp4_seed210_s30_g3.5_str0.3.png,fake,0.9993187189102172,0.0914337635040283,1,fake,ft_default
sd3_fp8,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00051_sd3_fp8_seed174_s30_g3.5_str0.3.png,fake,0.9896348118782043,0.089503526687622,1,fake,ft_default
sd15_fp8,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00088_sd15_fp8_seed211_s30_g3.5_str0.3.png,fake,0.99905925989151,0.0946476459503173,1,fake,ft_default
sd3_fp16,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00089_sd3_fp16_seed212_s30_g3.5_str0.3.png,fake,0.9978420734405518,0.0909838676452636,1,fake,ft_default
sd3_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00008_sd3_fp4_seed131_s30_g3.5_str0.3.png,fake,0.9997088313102722,0.091742992401123,1,fake,ft_default
sd3_fp16,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00094_sd3_fp16_seed217_s30_g3.5_str0.3.png,fake,0.9892151951789856,0.0894548892974853,1,fake,ft_default
sd3_fp8,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00050_sd3_fp8_seed173_s30_g3.5_str0.3.png,fake,0.9975101947784424,0.0873579978942871,1,fake,ft_default
sd15_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00069_sd15_fp4_seed192_s30_g3.5_str0.3.png,fake,0.9996092915534972,0.0890355110168457,1,fake,ft_default
sd15_fp8,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00094_sd15_fp8_seed217_s30_g3.5_str0.3.png,fake,0.99934059381485,0.0915484428405761,1,fake,ft_default
sd15_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00067_sd15_fp4_seed190_s30_g3.5_str0.3.png,fake,0.9997418522834778,0.0933027267456054,1,fake,ft_default
sd15_fp16,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00004_sd15_fp16_seed127_s30_g3.5_str0.3.png,fake,0.9993528723716736,0.0898246765136718,1,fake,ft_default
sd3_fp8,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00072_sd3_fp8_seed195_s30_g3.5_str0.3.png,fake,0.9998279809951782,0.0908234119415283,1,fake,ft_default
sd35_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00092_sd35_fp4_seed215_s30_g3.5_str0.3.png,fake,0.9987724423408508,0.0891621112823486,1,fake,ft_default
sd3_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00064_sd3_fp4_seed187_s30_g3.5_str0.3.png,fake,0.99978107213974,0.0882422924041748,1,fake,ft_default
sd3_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00032_sd3_fp4_seed155_s30_g3.5_str0.3.png,fake,0.9999376535415648,0.0891108512878418,1,fake,ft_default
sd35_fp8,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00040_sd35_fp8_seed163_s30_g3.5_str0.3.png,fake,0.9998717308044434,0.0862321853637695,1,fake,ft_default
sd3_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00081_sd3_fp4_seed204_s30_g3.5_str0.3.png,fake,0.9997864365577698,0.0912842750549316,1,fake,ft_default
sd3_fp4,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00018_sd3_fp4_seed141_s30_g3.5_str0.3.png,fake,0.9999468326568604,0.0915923118591308,1,fake,ft_default
sd15_fp16,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00083_sd15_fp16_seed206_s30_g3.5_str0.3.png,fake,0.999837040901184,0.091602087020874,1,fake,ft_default
sd3_fp16,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00030_sd3_fp16_seed153_s30_g3.5_str0.3.png,fake,0.9667294025421144,0.0881671905517578,1,fake,ft_default
sd3_fp8,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00090_sd3_fp8_seed213_s30_g3.5_str0.3.png,fake,0.9903938174247742,0.0899536609649658,1,fake,ft_default
sd35_fp8,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00017_sd35_fp8_seed140_s30_g3.5_str0.3.png,fake,0.9995173215866088,0.0924365520477294,1,fake,ft_default
sd15_fp16,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00092_sd15_fp16_seed215_s30_g3.5_str0.3.png,fake,0.9997809529304504,0.0920977592468261,1,fake,ft_default
sd15_fp16,CLIP-D,default,/media/CrispyMcMarkInc/fake-images-img2img/00078_sd15_fp16_seed201_s30_g3.5_str0.3.png,fake,0.9894691705703736,0.0921525955200195,1,fake,ft_default
