path,label
/media/CrispyMcMarkInc/Real_cropped_1024/00776.jpg,0
/media/CrispyMcMarkInc/fake-images-img2img/train/00776_sd15_fp16_seed123_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/fake-images-img2img/train/00776_sd35_fp16_seed123_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/fake-images-img2img/train/00776_sd3_fp16_seed123_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/Real_cropped_1024/00507.jpg,0
/media/CrispyMcMarkInc/fake-images-img2img/train/00507_sd15_fp16_seed124_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/fake-images-img2img/train/00507_sd35_fp16_seed124_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/fake-images-img2img/train/00507_sd3_fp16_seed124_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/Real_cropped_1024/00895.jpg,0
/media/CrispyMcMarkInc/fake-images-img2img/train/00895_sd15_fp16_seed125_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/fake-images-img2img/train/00895_sd35_fp16_seed125_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/fake-images-img2img/train/00895_sd3_fp16_seed125_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/Real_cropped_1024/00922.jpg,0
/media/CrispyMcMarkInc/fake-images-img2img/train/00922_sd15_fp16_seed126_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/fake-images-img2img/train/00922_sd35_fp16_seed126_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/fake-images-img2img/train/00922_sd3_fp16_seed126_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/Real_cropped_1024/00033.jpg,0
/media/CrispyMcMarkInc/fake-images-img2img/train/00033_sd15_fp16_seed127_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/fake-images-img2img/train/00033_sd35_fp16_seed127_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/fake-images-img2img/train/00033_sd3_fp16_seed127_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/Real_cropped_1024/00483.jpg,0
/media/CrispyMcMarkInc/fake-images-img2img/train/00483_sd15_fp16_seed128_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/fake-images-img2img/train/00483_sd35_fp16_seed128_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/fake-images-img2img/train/00483_sd3_fp16_seed128_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/Real_cropped_1024/00085.jpg,0
/media/CrispyMcMarkInc/fake-images-img2img/train/00085_sd15_fp16_seed129_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/fake-images-img2img/train/00085_sd35_fp16_seed129_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/fake-images-img2img/train/00085_sd3_fp16_seed129_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/Real_cropped_1024/00750.jpg,0
/media/CrispyMcMarkInc/fake-images-img2img/train/00750_sd15_fp16_seed130_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/fake-images-img2img/train/00750_sd35_fp16_seed130_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/fake-images-img2img/train/00750_sd3_fp16_seed130_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/Real_cropped_1024/00354.jpg,0
/media/CrispyMcMarkInc/fake-images-img2img/train/00354_sd15_fp16_seed131_s30_g3.5_str0.3.png,1
/media/CrispyMcMarkInc/fake-images-img2img/train/00354_sd35_fp16_seed131_s30_g3.5_str0.3.png,1
